"","country","mean_points"
"1","Argentina",86.7318781999461
"2","Armenia",87.5
"3","Australia",88.8056555269923
"4","Austria",90.2230685527747
"5","Bosnia and Herzegovina",86.5
"6","Brazil",84.3947368421053
"7","Bulgaria",87.936170212766
"8","Canada",89.3690476190476
"9","Chile",86.5254672897196
"10","China",89
"11","Croatia",87.3
"12","Cyprus",87
"13","Czech Republic",87.4545454545455
"14","England",91.7090909090909
"15","France",88.7516716196137
"16","Georgia",87.7037037037037
"17","Germany",89.8440808469682
"18","Greece",87.35
"19","Hungary",89.2695035460993
"20","India",90.2222222222222
"21","Israel",88.5590062111801
"22","Italy",88.9233591520587
"23","Lebanon",87.6857142857143
"24","Luxembourg",88.6666666666667
"25","Macedonia",86.8333333333333
"26","Mexico",85.2615384615385
"27","Moldova",87.280701754386
"28","Morocco",88.5714285714286
"29","New Zealand",88.3481012658228
"30","Peru",83.5625
"31","Portugal",88.3233390854185
"32","Romania",86.4
"33","Slovakia",87
"34","Slovenia",88.0384615384615
"35","South Africa",87.9585062240664
"36","Spain",87.3470881863561
"37","Switzerland",88.5714285714286
"38","Turkey",88.0888888888889
"39","Ukraine",83.8
"40","Uruguay",86.712962962963
"41","USA",89.0085777681567
