country,province,provinceEdited,latitude,longitude
Italy,Sicily & Sardinia,Sicily Sardinia,"37,23769","14,521768"
Portugal,Douro,Douro,"41,23706","-8,671976"
US,Oregon,Oregon,"44,03288416","-120,2814117"
US,Michigan,Michigan,"44,93374589","-84,52524"
Spain,Northern Spain,Northern Spain,"36,633765","-6,34904"
France,Alsace,Alsace,"47,715869","7,084331"
Germany,Rheinhessen,Rheinhessen,"49,814957","7,960216"
US,California,California,"37,07435959","-119,6993752"
Germany,Mosel,Mosel,"49,91231","7,073609"
Argentina,Other,Other,"-36,252002","-63,954193"
Argentina,Mendoza Province,Mendoza Province,"-32,88333","-68,83333"
US,Virginia,Virginia,"37,67759204","-78,61905262"
France,Beaujolais,Beaujolais,"45,986617","4,762714"
Chile,Colchagua Valley,Colchagua Valley,"-34,56","-71,39"
Italy,Southern Italy,Southern Italy,"44,391443","8,967524"
Chile,Maule Valley,Maule Valley,"-35,53333","-71,7"
France,Bordeaux,Bordeaux,"44,83778","-0,57944"
Chile,Maipo Valley,Maipo Valley,"-33,499126","-70,736427"
US,Washington,Washington,"48,02500543","-120,0942925"
Italy,Central Italy,Central Italy,"38,05111","15,43694"
France,Champagne,Champagne,"48,02278","0,33278"
France,Burgundy,Burgundy,"48,867996","2,325775"
Australia,South Australia,South Australia,"-30,1062845","135,8273737"
Portugal,Tejo,Tejo,"-15,813847","-47,890136"
Chile,Rapel Valley,Rapel Valley,"-34,153193","-71,386453"
Spain,Galicia,Galicia,"40,192995","-3,684052"
France,France Other,France Other,"43,296482","5,36978"
Italy,Tuscany,Tuscany,"43,094387","11,781013"
Austria,Burgenland,Burgenland,"47,5","16,41667"
US,New York,New York,"40,7648","-73,9808"
Chile,Leyda Valley,Leyda Valley,"-33,6136","-71,4531"
Italy,Piedmont,Piedmont,"44,636365","7,932995"
South Africa,Stellenbosch,Stellenbosch,"-33,9346","18,8668"
South Africa,Simonsberg-Stellenbosch,Simonsberg-Stellenbosch,"-33,927819","18,880717"
South Africa,Walker Bay,Walker Bay,"-34,403059","19,253509"
Portugal,Alentejano,Alentejano,"40,19361","-8,42037"
Spain,Central Spain,Central Spain,"43,285471","-5,627075"
France,Southwest France,Southwest France,"43,296482","5,36978"
Chile,Aconcagua Valley,Aconcagua Valley,"-22,472271","-68,936584"
Chile,Loncomilla Valley,Loncomilla Valley,"-18,436124","-70,294313"
New Zealand,Marlborough,Marlborough,"-41,88333","173,66667"
Italy,Northeastern Italy,Northeastern Italy,"44,391443","8,967524"
Chile,Casablanca Valley,Casablanca Valley,"-33,358291","-71,35311"
Italy,Veneto,Veneto,"45,54705","11,543477"
South Africa,Western Cape,Western Cape,-34,20
Israel,Judean Hills,Judean Hills,"30,602914","34,796605"
Portugal,Alentejo,Alentejo,"39,731868","-8,824834"
South Africa,Coastal Region,Coastal Region,"-29,633685","30,395917"
France,Rh√¥ne Valley,Rhône Valley,"45,75194","4,82278"
Israel,Galilee,Galilee,"32,787055","35,535577"
Portugal,Beira Atlantico,Beira Atlantico,"37,065305","-8,825186"
Hungary,Tokaj,Tokaj,"48,122087","21,415361"
Austria,Leithaberg,Leithaberg,"47,60779783","14,30014359"
Greece,Santorini,Santorini,"36,461906","25,375832"
Austria,Kremstal,Kremstal,"48,2093535","16,375146"
Spain,Catalonia,Catalonia,"41,8034105","2,742432"
Romania,Recas,Recas,"45,80139","21,51333"
New Zealand,Hawke's Bay,Hawke's Bay,"-39,41667","176,81667"
Chile,Curic√≥ Valley,Curicό Valley,"-34,98333","-71,23333"
Chile,Limar√≠ Valley,Limarí Valley,"-30,6357","-71,2794"
Chile,Colchagua Costa,Colchagua Costa,"-34,56","-71,39"
France,Languedoc-Roussillon,Languedoc-Roussillon,"43,506876","2,367429"
France,Provence,Provence,"44,016759","5,226711"
Australia,Victoria,Victoria,-37,144
Germany,Rheingau,Rheingau,"50,002229","8,01973"
Hungary,Tokaji,Tokaji,"48,122087","21,415361"
Greece,Naoussa,Naoussa,"37,1167","25,2333"
Mexico,Valle de Guadalupe,Valle de Guadalupe,21,"-102,61667"
Chile,Central Valley,Central Valley,"41,3318","-74,121"
Chile,Lontu√© Valley,Lontue Valley,"-35,0549","-71,2746"
Italy,Italy Other,Italy Other,"44,391443","8,967524"
Austria,Weinviertel,Weinviertel,"48,535698","14,610744"
Austria,Thermenregion,Thermenregion,"47,60779783","14,30014359"
Austria,Nieder√∂sterreich,Niederösterreich,"48,33333","15,75"
Austria,Wagram,Wagram,"48,210939","14,545149"
France,Loire Valley,Loire Valley,"47,5370625","1,38382"
Italy,Lombardy,Lombardy,"43,87003","10,24865"
Canada,Ontario,Ontario,"49,45156366","-84,2539813"
Austria,√ñsterreichischer Sekt,Österreichischer Sekt,"46,909765","10,259556"
Austria,Kamptal,Kamptal,"48,2093535","16,375146"
Austria,Steiermark,Steiermark,"47,25","15,16667"
Austria,S√ºdsteiermark,Südsteiermark,"46,79542","15,52521"
Greece,Crete,Crete,"35,30972","24,89333"
Portugal,Vinho Verde,Vinho Verde,"40,49583","-7,62694"
US,Idaho,Idaho,"44,39186825","-114,6513786"
Australia,Western Australia,Western Australia,"-25,46659229","122,1770097"
Spain,Levante,Levante,"41,382744","2,175497"
New Zealand,Martinborough,Martinborough,"-41,21884","175,45907"
New Zealand,Central Otago,Central Otago,"-45,88333","170,5"
Portugal,Lisboa,Lisboa,"38,71667","-9,16667"
US,Texas,Texas,"31,8039735","-98,82231851"
Portugal,Pen√≠nsula de Set√∫bal,Península de Setúbal,"38,520671","-8,890123"
Australia,Australia Other,Australia Other,"-29,7027973","116,354264"
Australia,Tasmania,Tasmania,"-42,01738212","146,625672"
Germany,Franken,Franken,"52,500546","13,422188"
Germany,Ahr,Ahr,"51,173725","6,916663"
Germany,Nahe,Nahe,"53,79944","10,14306"
Romania,Dealu Mare,Dealu Mare,"44,918443","25,463682"
Portugal,Port,Port,"37,077826","-8,118691"
South Africa,Darling,Darling,"-33,3782","18,3794"
Chile,Chile,Chile,"-33,352991","-70,248757"
Austria,S√ºdoststeiermark,Südoststeiermark,"47,60779783","14,30014359"
Greece,Corinth,Corinth,"37,93333","22,93333"
Greece,Halkidiki,Halkidiki,"40,084126","23,978654"
Turkey,Thrace,Thrace,"38,32919422","-81,93990007"
Germany,Pfalz,Pfalz,"50,7561698","11,5916491"
South Africa,Robertson,Robertson,"-33,8034","19,8854"
Israel,Dan,Dan,"33,24014607","35,65325587"
Italy,Northwestern Italy,Northwestern Italy,"44,391443","8,967524"
Spain,Andalucia,Andalucia,"41,395242","2,187077"
New Zealand,Awatere Valley,Awatere Valley,"-41,958006","173,56305"
Austria,Wiener Gemischter Satz,Wiener Gemischter Satz,"48,158184","13,147885"
Austria,Wachau,Wachau,"48,274296","15,374376"
US,Pennsylvania,Pennsylvania,"41,09113977","-78,29074625"
South Africa,Swartland,Swartland,"-33,673995","18,552932"
Portugal,D√£o,Douro,"41,23706","-8,671976"
Austria,Wagram-Donauland,Wagram-Donauland,"47,709078","16,022794"
Chile,Rio Claro,Rio Claro,"-35,28333","-71,26667"
Hungary,Vill√°ny,Villány,"45,86944","18,45556"
Chile,Cachapoal Valley,Cachapoal Valley,"-36,4614","-71,7289"
Romania,Jidvei,Jidvei,"46,22732","24,10325"
US,America,America,"36,10209","-115,174723"
Austria,Traisental,Traisental,"48,2093535","16,375146"
Portugal,Bairrada,Bairrada,"39,86917","-8,24472"
Israel,Negev Hills,Negev Hills,"30,602914","34,796605"
Portugal,Ribatejano,Ribatejano,"39,16206","-8,7856"
Portugal,Duriense,Duriense,"43,31944","-3,01958"
US,New Jersey,New Jersey,"40,15024789","-74,38931681"
Portugal,Beiras,Beiras,"38,7","-9,31667"
Spain,Spanish Islands,Spanish Islands,"22,296714","114,017014"
Israel,Upper Galilee,Upper Galilee,"33,19532","35,56866"
Portugal,Vinho Espumante,Vinho Espumante,"40,49583","-7,62694"
Greece,Epanomi,Epanomi,"40,42611","22,92806"
Greece,Nemea,Nemea,"37,81667","22,66667"
Greece,Peloponnese,Peloponnese,"37,33333","22,41667"
Chile,Aconcagua Costa,Aconcagua Costa,"-22,472271","-68,936584"
Czech Republic,Moravia,Moravia,"49,242014","16,574169"
Slovenia,Slovenia,Slovenia,"46,440359","14,026853"
Portugal,Terras do D√£o,Terras do Bouro,"41,6743","-8,2865"
Portugal,Beira Interior,Beira Interior,"39,44917","-7,37083"
Romania,Panciu,Panciu,"45,91","27,09"
Chile,B√≠o B√≠o Valley,Bío Bío Valley,"-36,77278","-73,06306"
Romania,Romania,Romania,"44,445283","26,126765"
Portugal,Minho,Minho,"38,803327","-9,450534"
US,Missouri,Missouri,"38,1908024","-92,5859149"
US,New Mexico,New Mexico,"34,32485649","-105,9983506"
