"region","country","mean_points","long","lat"
"Achaia","Greece",85.8,"25.891792","35.02709"
"Aconcagua Costa","Chile",87.6296296296296,"-68.936584","-22.472271"
"Aconcagua Valley","Chile",88.1981981981982,"-68.936584","-22.472271"
"Aegean","Turkey",88.9545454545455,"22.979819","40.554142"
"Agioritikos","Greece",86.3333333333333,"23.82855374","38.58902129"
"Ahr","Germany",90.2222222222222,"6.916663","51.173725"
"Alenquer","Portugal",87.5,"-9.01667","39.05"
"Alentejano","Portugal",87.9926918392205,"-8.42037","40.19361"
"Alentejo","Portugal",88.6807228915663,"-8.824834","39.731868"
"Alenteo","Portugal",88,"-8.824834","39.731868"
"Algarve","Portugal",86.8888888888889,"-8.178494","37.093086"
"Alsace","France",89.8224043715847,"7.084331","47.715869"
"America","USA",86.5681818181818,"-115.174723","36.10209"
"Amindeo","Greece",83.5,"26.471465","41.495066"
"Amyndeon","Greece",86.6,"23.82855374","38.58902129"
"Andalucia","Spain",89.1372549019608,"2.187077","41.395242"
"Ankara","Turkey",88.9444444444444,"32.86667","39.86667"
"Apalta","Chile",88.0833333333333,"-71.25","-34.63"
"Arcadia","Greece",87,"25.356428","41.143926"
"Arizona","USA",83.9,"-111.422128","34.22026117"
"Armenia","Armenia",87.5,"-75.659976","4.548958"
"Atalanti Valley","Greece",87.6428571428571,"23.002632","38.637129"
"Atlantida","Uruguay",86.4,"-55.76128","-34.7701"
"Attica","Greece",86.25,"23.7","38"
"Australia Other","Australia",85.5361445783133,"116.354264","-29.7027973"
"Austria","Austria",87.9090909090909,"12.637895","47.395105"
"Awatere Valley","New Zealand",88.52,"173.56305","-41.958006"
"Baden","Germany",89.7049180327869,"9.080712","52.998247"
"Bairrada","Portugal",88.8269230769231,"-8.24472","39.86917"
"Beaujolais","France",88.1004728132388,"4.762714","45.986617"
"Beira Atlantico","Portugal",91,"-8.825186","37.065305"
"Beira Interior","Portugal",88.9705882352941,"-7.37083","39.44917"
"Beiras","Portugal",90,"-9.31667","38.7"
"Bekaa Valley","Lebanon",86.7272727272727,"35.9","33.83333"
"Beotia","Greece",86,"20.6897","39.4356"
"Black Sea Coastal","Bulgaria",84.3333333333333,"27.212093","38.459174"
"Bordeaux","France",87.9529796328891,"-0.57944","44.83778"
"Bot River","South Africa",89,"27.27237","-24.966471"
"Brazil","Brazil",86,"-73.989091","40.760158"
"Brda","Slovenia",88.4285714285714,"13.52861","45.99778"
"Breedekloof","South Africa",88.6666666666667,"27.903584","-26.238007"
"British Columbia","Canada",89.7341772151899,"-125.0227965","55.17121528"
"Bucelas","Portugal",88.8888888888889,"-9.11667","38.9"
"Buin","Chile",91.125,"-70.75","-33.73333"
"Bulgaria","Bulgaria",84.1111111111111,"137.4772394","-30.1665407"
"Burgenland","Austria",89.6470588235294,"16.41667","47.5"
"Burgundy","France",89.6696310935441,"2.325775","48.867996"
"Cachapoal Valley","Chile",87.2878787878788,"-71.7289","-36.4614"
"Cahul","Moldova",83.3333333333333,"28.33333","45.83333"
