"","country","taster_name","count","mean_points"
"1","Argentina","Michael Schachner",3711,86.7318781999461
"2","Armenia","Mike DeSimone",2,87.5
"3","Australia","Christina Pickard",1,93
"4","Australia","Joe Czerwinski",1944,88.8034979423868
"5","Austria","Anne Krebiehl MW",1938,90.6914344685242
"6","Austria","Roger Voss",819,89.1147741147741
"7","Bosnia and Herzegovina","Anna Lee C. Iijima",1,85
"8","Bosnia and Herzegovina","Jeff Jenssen",1,88
"9","Brazil","Michael Schachner",38,84.3947368421053
"10","Bulgaria","Anna Lee C. Iijima",19,85.3684210526316
"11","Bulgaria","Jeff Jenssen",113,88.5840707964602
"12","Bulgaria","Mike DeSimone",1,91
"13","Bulgaria","Susan Kostrzewa",8,84.5
"14","Canada","Anna Lee C. Iijima",15,88.2
"15","Canada","Joe Czerwinski",8,87.5
"16","Canada","Paul Gregutt",184,89.6032608695652
"17","Canada","Sean P. Sullivan",32,90.34375
"18","Canada","Susan Kostrzewa",13,86.1538461538462
"19","Chile","Joe Czerwinski",23,85.0434782608696
"20","Chile","Matt Kettmann",1,89
"21","Chile","Michael Schachner",4256,86.5328947368421
"22","China","Mike DeSimone",1,89
"23","Croatia","Anna Lee C. Iijima",39,86.4102564102564
"24","Croatia","Jeff Jenssen",30,88.5666666666667
"25","Croatia","Susan Kostrzewa",1,84
"26","Cyprus","Susan Kostrzewa",10,87
"27","Czech Republic","Anna Lee C. Iijima",3,85.3333333333333
"28","Czech Republic","Jeff Jenssen",8,88.25
"29","England","Anne Krebiehl MW",55,91.7090909090909
"30","France","Anne Krebiehl MW",1192,90.6367449664429
"31","France","Joe Czerwinski",1115,88.7309417040359
"32","France","Lauren Buzzeo",567,87.0493827160494
"33","France","Michael Schachner",19,82.6842105263158
"34","France","Paul Gregutt",15,89.8
"35","France","Roger Voss",13244,88.6641498036847
"36","Georgia","Anna Lee C. Iijima",21,86.9523809523809
"37","Georgia","Mike DeSimone",60,87.9666666666667
"38","Germany","Anna Lee C. Iijima",1716,89.972027972028
"39","Germany","Joe Czerwinski",362,89.2375690607735
"40","Greece","Jeff Jenssen",1,87
"41","Greece","Joe Czerwinski",1,84
"42","Greece","Susan Kostrzewa",438,87.3584474885845
"43","Hungary","Anna Lee C. Iijima",30,88
"44","Hungary","Jeff Jenssen",94,90.0106382978723
"45","Hungary","Susan Kostrzewa",17,87.4117647058823
"46","India","Mike DeSimone",9,90.2222222222222
"47","Israel","Lauren Buzzeo",197,87.0355329949239
"48","Israel","Mike DeSimone",286,89.6083916083916
"49","Italy","Joe Czerwinski",88,86.1022727272727
"50","Italy","Kerin O’Keefe",9570,88.9478578892372
"51","Italy","Michael Schachner",68,89.1911764705882
"52","Italy","Paul Gregutt",1,90
"53","Italy","Roger Voss",85,88.8588235294118
"54","Lebanon","Anna Lee C. Iijima",10,86.7
"55","Lebanon","Mike DeSimone",20,89.2
"56","Lebanon","Susan Kostrzewa",5,83.6
"57","Luxembourg","Jeff Jenssen",3,88.6666666666667
"58","Macedonia","Anna Lee C. Iijima",1,84
"59","Macedonia","Jeff Jenssen",6,88
"60","Macedonia","Susan Kostrzewa",5,86
"61","Mexico","Michael Schachner",65,85.2615384615385
"62","Moldova","Jeff Jenssen",51,87.7058823529412
"63","Moldova","Susan Kostrzewa",6,83.6666666666667
"64","Morocco","Anna Lee C. Iijima",2,86
"65","Morocco","Mike DeSimone",26,88.7692307692308
"66","New Zealand","Joe Czerwinski",1264,88.3481012658228
"67","Peru","Michael Schachner",16,83.5625
"68","Portugal","Joe Czerwinski",16,86
"69","Portugal","Lauren Buzzeo",1,84
"70","Portugal","Michael Schachner",3,89
"71","Portugal","Roger Voss",4616,88.3318890814558
"72","Romania","Anna Lee C. Iijima",41,86.2439024390244
"73","Romania","Jeff Jenssen",66,86.7424242424242
"74","Romania","Susan Kostrzewa",13,85.1538461538462
"75","Serbia","Jeff Jenssen",12,87.5
"76","Slovakia","Anna Lee C. Iijima",1,87
"77","Slovenia","Anna Lee C. Iijima",19,87.1052631578947
"78","Slovenia","Jeff Jenssen",59,88.3389830508475
"79","South Africa","Lauren Buzzeo",892,88.1076233183856
"80","South Africa","Roger Voss",17,89.1176470588235
"81","South Africa","Susan Kostrzewa",296,87.4425675675676
"82","Spain","Lauren Buzzeo",1,83
"83","Spain","Michael Schachner",6009,87.3478116159095
"84","Switzerland","Jeff Jenssen",6,89.5
"85","Switzerland","Susan Kostrzewa",1,83
"86","Turkey","Anna Lee C. Iijima",5,87.2
"87","Turkey","Mike DeSimone",85,88.1411764705882
"88","Ukraine","Anna Lee C. Iijima",2,83.5
"89","Ukraine","Jeff Jenssen",3,84
"90","Uruguay","Michael Schachner",108,86.712962962963
"91","US","Alexander Peartree",393,85.9185750636132
"92","US","Anna Lee C. Iijima",2365,87.4841437632135
"93","US","Carrie Dykes",133,86.4436090225564
"94","US","Christina Pickard",4,86.25
"95","US","Fiona Adams",22,87.0454545454545
"96","US","Jim Gordon",4011,88.6716529543755
"97","US","Joe Czerwinski",95,85.4947368421053
"98","US","Lauren Buzzeo",17,85.3529411764706
"99","US","Matt Kettmann",6202,90.0403095775556
"100","US","Michael Schachner",69,86.3188405797101
"101","US","Paul Gregutt",9183,89.0984427746924
"102","US","Roger Voss",2,89.5
"103","US","Sean P. Sullivan",4841,88.7667837223714
"104","US","Susan Kostrzewa",217,84.5207373271889
"105","US","Virginie Boone",9402,89.2284620293555
